date,futures_id,contract_date,open,max,min,close,漲跌價,漲跌%,volume,settlement_price,open_interest,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,trading_session,價差對單式委託成交量,sess
2026/01/21,TX,202601,31560.0,31575.0,31186.0,31231.0,-437,-1.38%,50056,,,31230,31231,31774,26277,,盤後,,after
2026/01/21,TX,202602,31437.0,31802.0,31377.0,31484.0,-310,-0.98%,59065,31471.0,65384.0,31479,31484,31890,26305,,一般,,day
2026/01/22,TX,202602,31506.0,31982.0,31448.0,31726.0,255,0.81%,80848,,,31723,31730,31982,26305,,盤後,,after
2026/01/22,TX,202602,31876.0,32057.0,31783.0,31857.0,386,1.23%,72142,31863.0,66455.0,31857,31860,32057,26305,,一般,,day
2026/01/23,TX,202602,31995.0,32166.0,31873.0,32153.0,290,0.91%,68404,32159.0,67256.0,32152,32156,32166,26305,,一般,,day
2026/01/23,TX,202602,31845.0,32135.0,31841.0,32012.0,149,0.47%,48858,,,32012,32018,32135,26305,,盤後,,after
2026/01/26,TX,202602,32128.0,32231.0,32086.0,32144.0,-15,-0.05%,57175,32150.0,66009.0,32144,32148,32265,26305,,一般,,day
2026/01/26,TX,202602,32184.0,32265.0,32058.0,32238.0,79,0.25%,51696,,,32237,32242,32265,26305,,盤後,,after
2026/01/27,TX,202602,32313.0,32532.0,32206.0,32509.0,359,1.12%,62851,32505.0,67594.0,32506,32509,32532,26305,,一般,,day
2026/01/27,TX,202602,32134.0,32363.0,32033.0,32288.0,138,0.43%,43161,,,32280,32288,32363,26305,,盤後,,after
2026/01/28,TX,202602,32758.0,32938.0,32668.0,32927.0,422,1.30%,60131,32925.0,68487.0,32923,32926,32938,26305,,一般,,day
2026/01/28,TX,202602,32526.0,32750.0,32513.0,32696.0,191,0.59%,35434,,,32692,32696,32750,26305,,盤後,,after
2026/01/29,TX,202602,33014.0,33014.0,32587.0,32777.0,-148,-0.45%,78180,32774.0,70655.0,32777,32780,33153,26305,,一般,,day
2026/01/29,TX,202602,32985.0,33153.0,32847.0,33015.0,90,0.27%,55311,,,33014,33016,33153,26305,,盤後,,after
2026/01/30,TX,202602,32456.0,32526.0,32092.0,32247.0,-527,-1.61%,84129,32252.0,69935.0,32249,32250,33153,26305,,一般,,day
2026/01/30,TX,202602,32758.0,32798.0,31994.0,32443.0,-331,-1.01%,84868,,,32441,32444,33153,26305,,盤後,,after
